accuracyreport.country	accuracyreport.platform	accuracyreport.sitesize	accuracyreport.lb	accuracyreport.c	accuracyreport.ub	accuracyreport.month	accuracyreport.year
Singapore	Desktop	1000000.0	0.5512368994373851	0.592592592592	0.6406568811418731	6	17
Singapore	Desktop	100000.0	0.5031336794392061	0.5408805031439999	0.5847505023628609	6	17
Singapore	Desktop	10000.0	0.5241672302690501	0.563492063492	0.6091960521577681	6	17
Slovakia	Desktop	1.0E7	0.87	0.9	0.93	6	17
Slovakia	Desktop	1000000.0	0.41342767457803886	0.44444444444400005	0.4804926608564049	6	17
Slovakia	Desktop	100000.0	0.5401232522721691	0.5806451612906667	0.6277404117650125	6	17
Slovakia	Desktop	10000.0	0.4102474616967933	0.4410256410253333	0.4767965634653459	6	17
Portugal	Desktop	1000000.0	0.7892710151047689	0.8484848484853332	0.9173041707273052	6	17
Portugal	Desktop	100000.0	0.7036221000040938	0.7564102564106667	0.8177615478049504	6	17
Portugal	Desktop	10000.0	0.45070394031903754	0.48451730418933336	0.5238157696225598	6	17
Peru	Desktop	1000000.0	0.87	0.9	0.93	6	17
Peru	Desktop	100000.0	0.8320886108599739	0.8945147679319999	0.93	6	17
Peru	Desktop	10000.0	0.7091915866642856	0.7623975851666667	0.82423449973709	6	17
Ukraine	Desktop	1.0E7	0.87	0.9523809523813332	0.93	6	17
Ukraine	Desktop	1000000.0	0.7069613235291533	0.7599999999999999	0.8216424500652739	6	17
Ukraine	Desktop	100000.0	0.6613358313271764	0.710951526032	0.7686157285876024	6	17
Ukraine	Desktop	10000.0	0.6043010691320035	0.6496378192906667	0.7023289598645329	6	17
Denmark	Desktop	1000000.0	0.5315498673146214	0.571428571428	0.6177762782439491	6	17
Denmark	Desktop	100000.0	0.2849298838314307	0.30630630630666666	0.33115034734770243	6	17
Denmark	Desktop	10000.0	0.32042461245841297	0.34446397188	0.37240292344039316	6	17
Italy	Desktop	1.0E7	0.6201415118676784	0.6666666666666666	0.720738991285328	6	17
Italy	Desktop	1000000.0	0.6678447050888414	0.7179487179493332	0.7761804521540954	6	17
Italy	Desktop	100000.0	0.5934518771794198	0.637974683544	0.6897198448246185	6	17
Italy	Desktop	10000.0	0.497624981590107	0.5349585237853333	0.578348200218794	6	17
Czech Republic	Desktop	1000000.0	0.8486147004507684	0.9122807017546667	0.93	6	17
Czech Republic	Desktop	100000.0	0.6244183498804734	0.6712643678160001	0.7257096050182309	6	17
Czech Republic	Desktop	10000.0	0.5344640661496398	0.5745614035093333	0.6211632095951988	6	17
Kuwait	Desktop	100000.0	0.87	0.9	0.93	6	17
Kuwait	Desktop	10000.0	0.6251833127766676	0.6720867208666667	0.7265986578805578	6	17
Poland	Desktop	1.0E7	0.6890461242979717	0.7407407407413333	0.8008211014287829	6	17
Poland	Desktop	1000000.0	0.6996468339025368	0.7521367521373333	0.8131414260661266	6	17
Poland	Desktop	100000.0	0.6095794909844835	0.6553122465533333	0.7084636313366575	6	17
Poland	Desktop	10000.0	0.41816881763585184	0.44954128440400004	0.4860028977936746	6	17
UAE	Desktop	1000000.0	0.826855349157318	0.8888888888893334	0.93	6	17
UAE	Desktop	100000.0	0.6201415118676784	0.6666666666666666	0.720738991285328	6	17
UAE	Desktop	10000.0	0.5217063512538597	0.5608465608466667	0.6063359767957078	6	17
Israel	Desktop	1000000.0	0.87	0.9523809523813332	0.93	6	17
Israel	Desktop	100000.0	0.624668092245659	0.6715328467146667	0.7259998598341405	6	17
Israel	Desktop	10000.0	0.4674147935956266	0.5024818633066667	0.5432374069482285	6	17
Norway	Desktop	1000000.0	0.4510120086305878	0.48484848484799997	0.5241738118433508	6	17
Norway	Desktop	100000.0	0.4326568687444881	0.46511627906933334	0.5028411567102247	6	17
Norway	Desktop	10000.0	0.3440511127485405	0.3698630136986667	0.39986204311039275	6	17
Qatar	Desktop	100000.0	0.8586574779710133	0.9230769230773334	0.93	6	17
Qatar	Desktop	10000.0	0.5293890954971919	0.5691056910573333	0.6152649925611029	6	17
Australia	Desktop	1000000.0	0.8025360741811908	0.8627450980386667	0.93	6	17
Australia	Desktop	100000.0	0.5816711947543574	0.6253101736973333	0.6760281357466039	6	17
Australia	Desktop	10000.0	0.5168293171173922	0.5556036347906667	0.6006678049402303	6	17
Argentina	Desktop	1.0E7	0.87	0.9	0.93	6	17
Argentina	Desktop	1000000.0	0.87	0.9	0.93	6	17
Argentina	Desktop	100000.0	0.7028270467837824	0.7555555555560001	0.8168375234571856	6	17
Argentina	Desktop	10000.0	0.4854249536342269	0.52184320766	0.5641691206469526	6	17
India	Desktop	1.0E7	0.723498430511878	0.7777777777773333	0.8408621564990688	6	17
India	Desktop	1000000.0	0.7204585211401722	0.7745098039213333	0.8373291222282885	6	17
India	Desktop	100000.0	0.6359211941029607	0.68363019508	0.7390784058212267	6	17
India	Desktop	10000.0	0.5882551455673898	0.6323880752053334	0.6836801151365431	6	17
Switzerland	Desktop	1000000.0	0.7087331564207355	0.7619047619053334	0.823701704326707	6	17
Switzerland	Desktop	100000.0	0.5732400529874507	0.6162464986	0.666229319676119	6	17
Switzerland	Desktop	10000.0	0.43041173039893893	0.46270270270266667	0.5002318188163725	6	17
Taiwan	Desktop	1.0E7	0.87	0.9	0.93	6	17
Taiwan	Desktop	1000000.0	0.6922509899921733	0.744186046512	0.8045458507375126	6	17
Taiwan	Desktop	100000.0	0.6266238273224474	0.6736353077813333	0.7282728483367494	6	17
Taiwan	Desktop	10000.0	0.5532070098719276	0.5947105075053333	0.6429465769292692	6	17
Morocco	Desktop	1000000.0	0.87	0.9	0.93	6	17
Morocco	Desktop	100000.0	0.7279922095836346	0.7826086956520001	0.8460849028130232	6	17
Morocco	Desktop	10000.0	0.5203711109041801	0.5594111461613334	0.6047841377971329	6	17
Viet Nam	Desktop	1.0E7	0.87	0.9	0.93	6	17
Viet Nam	Desktop	1000000.0	0.7328945140253253	0.7878787878786667	0.8517824442461657	6	17
Viet Nam	Desktop	100000.0	0.5220494228589517	0.5612153708666666	0.6067347004383938	6	17
Viet Nam	Desktop	10000.0	0.40243675480465774	0.4326289479666667	0.467718827337492	6	17
Philippines	Desktop	1000000.0	0.5875024849268826	0.631578947368	0.6828053601645924	6	17
Philippines	Desktop	100000.0	0.6709727833317745	0.7213114754093333	0.7798159577835818	6	17
Philippines	Desktop	10000.0	0.7061299125034503	0.759106213652	0.8206761700589508	6	17
Hungary	Desktop	1.0E7	0.87	0.9	0.93	6	17
Hungary	Desktop	1000000.0	0.87	0.9	0.93	6	17
Hungary	Desktop	100000.0	0.8241880738367234	0.886021505376	0.93	6	17
Hungary	Desktop	10000.0	0.6019555437780154	0.647116324536	0.6996029504855185	6	17
Hong Kong	Desktop	1000000.0	0.826855349157318	0.8888888888893334	0.93	6	17
Hong Kong	Desktop	100000.0	0.6967882155816751	0.7490636704120001	0.8098190913318455	6	17
Hong Kong	Desktop	10000.0	0.5542857760938014	0.5958702064893333	0.6442003373431533	6	17
Turkey	Desktop	1.0E7	0.6201415118676784	0.6666666666666666	0.720738991285328	6	17
Turkey	Desktop	1000000.0	0.6102979958056763	0.656084656084	0.7092986898356453	6	17
Turkey	Desktop	100000.0	0.4429582227628046	0.4761904761906666	0.5148135652040117	6	17
Turkey	Desktop	10000.0	0.2926836107410209	0.31464174454800004	0.3401618603726721	6	17
Colombia	Desktop	1.0E7	0.87	0.9	0.93	6	17
Colombia	Desktop	1000000.0	0.87	0.9	0.93	6	17
Colombia	Desktop	100000.0	0.728239573569691	0.7828746177373334	0.8463723934363386	6	17
Colombia	Desktop	10000.0	0.6018463909688433	0.6469989827066667	0.6994760912379545	6	17
Ireland	Desktop	1000000.0	0.87	0.9	0.93	6	17
Ireland	Desktop	100000.0	0.5705301909182642	0.6133333333333334	0.6630798719825018	6	17
Ireland	Desktop	10000.0	0.4860863168590353	0.5225541886346666	0.564937768212709	6	17
South Africa	Desktop	1000000.0	0.7087331564207355	0.7619047619053334	0.823701704326707	6	17
South Africa	Desktop	100000.0	0.4829420623388712	0.5191740412973334	0.561283462239251	6	17
South Africa	Desktop	10000.0	0.445538561924508	0.4789644012946667	0.5178124791760487	6	17
Egypt	Desktop	1.0E7	0.87	0.9	0.93	6	17
Egypt	Desktop	1000000.0	0.775176889834598	0.8333333333333334	0.90092373910666	6	17
Egypt	Desktop	100000.0	0.5336101381192769	0.5736434108533334	0.6201707599438597	6	17
Egypt	Desktop	10000.0	0.4296592460981512	0.4618937644346666	0.4993572687894368	6	17
Germany	Desktop	1.0E7	0.87	0.9523809523813332	0.93	6	17
Germany	Desktop	1000000.0	0.7799717984309632	0.838487972508	0.9064964632654436	6	17
Germany	Desktop	100000.0	0.6127807817563532	0.6587537091986667	0.712184225809973	6	17
Germany	Desktop	10000.0	0.44336554066884415	0.47662835249066665	0.5152869569881663	6	17
Thailand	Desktop	1.0E7	0.6201415118676784	0.6666666666666666	0.720738991285328	6	17
Thailand	Desktop	1000000.0	0.826855349157318	0.8888888888893334	0.93	6	17
Thailand	Desktop	100000.0	0.6981233786294748	0.750499001996	0.8113708404888637	6	17
Thailand	Desktop	10000.0	0.5005427917212374	0.5380952380946666	0.5817393286796827	6	17
Iraq	Desktop	100000.0	0.87	0.9	0.93	6	17
Iraq	Desktop	10000.0	0.4429582227628046	0.4761904761906666	0.5148135652040117	6	17
Finland	Desktop	1000000.0	0.4961132094941427	0.5333333333333333	0.5765911930282624	6	17
Finland	Desktop	100000.0	0.42846140820005063	0.46060606060666665	0.4979651212523364	6	17
Finland	Desktop	10000.0	0.33357245137171004	0.35859820700933337	0.38768356499495127	6	17
Romania	Desktop	1.0E7	0.87	0.9	0.93	6	17
Romania	Desktop	1000000.0	0.87	0.9	0.93	6	17
Romania	Desktop	100000.0	0.7852151517175266	0.84412470024	0.9125903774550111	6	17
Romania	Desktop	10000.0	0.5098095864430251	0.5480572597133333	0.5925093547985834	6	17
Russia	Desktop	1.0E7	0.86280558172889	0.927536231884	0.93	6	17
Russia	Desktop	1000000.0	0.7047062634862237	0.7575757575759999	0.8190215810063166	6	17
Russia	Desktop	100000.0	0.6292315340285892	0.6764386536373334	0.7313035693334655	6	17
Russia	Desktop	10000.0	0.5932112120723597	0.6377159629106667	0.6894401397521783	6	17
Brazil	Desktop	1.0E7	0.87	0.96	0.93	6	17
Brazil	Desktop	1000000.0	0.8016463446098917	0.8617886178866666	0.93	6	17
Brazil	Desktop	100000.0	0.6599130577600013	0.7094220110853334	0.766962156997878	6	17
Brazil	Desktop	10000.0	0.5560956958209675	0.597815912636	0.6463038567713827	6	17
Pakistan	Desktop	1000000.0	0.7087331564207355	0.7619047619053334	0.823701704326707	6	17
Pakistan	Desktop	100000.0	0.6373676649752517	0.6851851851853333	0.7407595188211917	6	17
Pakistan	Desktop	10000.0	0.5934112742870895	0.6379310344826666	0.6896726554539645	6	17
Belgium	Desktop	1000000.0	0.5512368994373851	0.592592592592	0.6406568811418731	6	17
Belgium	Desktop	100000.0	0.527583077260118	0.567164179104	0.6131660075108821	6	17
Belgium	Desktop	10000.0	0.45971880416399685	0.494208494208	0.5342929974001722	6	17
Malaysia	Desktop	1.0E7	0.87	0.9	0.93	6	17
Malaysia	Desktop	1000000.0	0.5724383186465153	0.615384615384	0.6652975304165606	6	17
Malaysia	Desktop	100000.0	0.716219774269224	0.7699530516426667	0.8324027786669935	6	17
Malaysia	Desktop	10000.0	0.6166536518464709	0.6629171353586667	0.716685341166247	6	17
Austria	Desktop	1000000.0	0.6201415118676784	0.6666666666666666	0.720738991285328	6	17
Austria	Desktop	100000.0	0.5798725825250415	0.623376623376	0.6739377580843081	6	17
Austria	Desktop	10000.0	0.4808059190112074	0.5168776371306667	0.5588008002052508	6	17
US	Desktop	1.0E7	0.6306523849499502	0.6779661016946666	0.7329549063915902	6	17
US	Desktop	1000000.0	0.6323749559566817	0.6798179059186666	0.7349569076542857	6	17
US	Desktop	100000.0	0.5448246405531055	0.5856992639333333	0.6332044450258046	6	17
US	Desktop	10000.0	0.493726998947604	0.5307681010426667	0.5738178986278809	6	17
France	Desktop	1.0E7	0.87	0.9	0.93	6	17
France	Desktop	1000000.0	0.6707653087553167	0.7210884353746666	0.779574827309179	6	17
France	Desktop	100000.0	0.6420934237918907	0.6902654867253334	0.7462518759322391	6	17
France	Desktop	10000.0	0.534938773067611	0.5750717245773334	0.6217149220328718	6	17
Bulgaria	Desktop	1.0E7	0.87	0.9	0.93	6	17
Bulgaria	Desktop	1000000.0	0.87	0.9	0.93	6	17
Bulgaria	Desktop	100000.0	0.7180585926888255	0.7719298245613334	0.8345398846460934	6	17
Bulgaria	Desktop	10000.0	0.4213629466426979	0.452975047984	0.48971516874211685	6	17
Greece	Desktop	1000000.0	0.6449471723423855	0.6933333333333334	0.7495685509367411	6	17
Greece	Desktop	100000.0	0.6345634074928255	0.682170542636	0.7375003631760533	6	17
Greece	Desktop	10000.0	0.58896121238888	0.6331471135946667	0.6845007179811556	6	17
Indonesia	Desktop	1.0E7	0.87	0.9	0.93	6	17
Indonesia	Desktop	1000000.0	0.7855125816986459	0.844444444444	0.9129360556276017	6	17
Indonesia	Desktop	100000.0	0.5918362976336562	0.6362378976493334	0.6878421908539174	6	17
Indonesia	Desktop	10000.0	0.49403742200717105	0.5311018131106667	0.5741786775767861	6	17
Spain	Desktop	1.0E7	0.87	0.9	0.93	6	17
Spain	Desktop	1000000.0	0.7382637046042609	0.7936507936506666	0.8580226086728723	6	17
Spain	Desktop	100000.0	0.6473828702696314	0.6959517657186667	0.7523993604109721	6	17
Spain	Desktop	10000.0	0.4817278605831351	0.5178687459386667	0.5598722963490487	6	17
Netherlands	Desktop	1.0E7	0.87	0.9	0.93	6	17
Netherlands	Desktop	1000000.0	0.47703193220542944	0.51282051282	0.5544146086804671	6	17
Netherlands	Desktop	100000.0	0.5185666090619366	0.557471264368	0.6026869151267231	6	17
Netherlands	Desktop	10000.0	0.36574430812192205	0.39318370739866665	0.4250742429905109	6	17
Venezuela	Desktop	1.0E7	0.87	0.9	0.93	6	17
Venezuela	Desktop	1000000.0	0.87	0.9	0.93	6	17
Venezuela	Desktop	100000.0	0.7804028014513769	0.8389513108613333	0.9069973822915516	6	17
Venezuela	Desktop	10000.0	0.6236189409064901	0.670404984424	0.7247805183396147	6	17
Saudi Arabia	Desktop	1000000.0	0.8681981166147498	0.9333333333333332	0.93	6	17
Saudi Arabia	Desktop	100000.0	0.6854195657480298	0.7368421052626667	0.7966062535253577	6	17
Saudi Arabia	Desktop	10000.0	0.4389129421896849	0.47184170471866665	0.510112071457922	6	17
Mexico	Desktop	1.0E7	0.87	0.9	0.93	6	17
Mexico	Desktop	1000000.0	0.6415257019316535	0.6896551724133334	0.7455920599498423	6	17
Mexico	Desktop	100000.0	0.6886654358315403	0.7403314917133333	0.8003786588313451	6	17
Mexico	Desktop	10000.0	0.5195374409348822	0.558514931396	0.6038152324082208	6	17
Canada	Desktop	1.0E7	0.6201415118676784	0.6666666666666666	0.720738991285328	6	17
Canada	Desktop	1000000.0	0.5768758249934777	0.62015503876	0.6704548756145939	6	17
Canada	Desktop	100000.0	0.5617087250352596	0.6038500506586667	0.6528274145989824	6	17
Canada	Desktop	10000.0	0.5226598705010276	0.561871616396	0.6074441730496647	6	17
UK	Desktop	1.0E7	0.775176889834598	0.8333333333333334	0.90092373910666	6	17
UK	Desktop	1000000.0	0.6687800618186927	0.7189542483666668	0.7772675396221389	6	17
UK	Desktop	100000.0	0.5364669155289759	0.576714513556	0.62349095513994	6	17
UK	Desktop	10000.0	0.46466587116418406	0.4995267072346667	0.5400425626385925	6	17
Serbia	Desktop	1000000.0	0.87	0.9	0.93	6	17
Serbia	Desktop	100000.0	0.8681981166147498	0.9333333333333332	0.93	6	17
Serbia	Desktop	10000.0	0.6062057475562681	0.6516853932586667	0.7045426094589505	6	17
Croatia	Desktop	1000000.0	0.826855349157318	0.8888888888893334	0.93	6	17
Croatia	Desktop	100000.0	0.6201415118676784	0.6666666666666666	0.720738991285328	6	17
Croatia	Desktop	10000.0	0.5118628351918576	0.550264550264	0.594895675346025	6	17
Japan	Desktop	1.0E7	0.7892710151047689	0.8484848484853332	0.9173041707273052	6	17
Japan	Desktop	1000000.0	0.6433968185627164	0.6916666666666668	0.7477667034585279	6	17
Japan	Desktop	100000.0	0.47392928549210994	0.5094850948506667	0.5508086600063687	6	17
Japan	Desktop	10000.0	0.40384521900581766	0.4341430800093333	0.46935576833914855	6	17
Chile	Desktop	1.0E7	0.87	0.9	0.93	6	17
Chile	Desktop	1000000.0	0.87	0.9	0.93	6	17
Chile	Desktop	100000.0	0.767501871123217	0.8250825082506666	0.8920037020856307	6	17
Chile	Desktop	10000.0	0.5484742145055181	0.5896226415093333	0.6374460418206412	6	17
Sweden	Desktop	1000000.0	0.5724383186465153	0.615384615384	0.6652975304165606	6	17
Sweden	Desktop	100000.0	0.36008216818103256	0.3870967741933333	0.41849360784286116	6	17
Sweden	Desktop	10000.0	0.38006333592824687	0.40857699805066666	0.4417160601561374	6	17
New Zealand	Desktop	1.0E7	0.87	0.9	0.93	6	17
New Zealand	Desktop	1000000.0	0.35436657820974754	0.38095238095199996	0.41185085216263273	6	17
New Zealand	Desktop	100000.0	0.6013493448407838	0.646464646464	0.6988984157911343	6	17
New Zealand	Desktop	10000.0	0.43087754396050965	0.463203463204	0.5007731952442823	6	17
