site	country	source	site2	traffic_source	landingpage	sendingpage	user	pages	timestamps	refpath	year	month	day
bankofamerica.com	840	1240	capitalone.com	6	bankofamerica.com	capitalone.com/sign-out/?service=e	018749f7f1920bd96721b5434c7eec0460406580	"[""bankofamerica.com"",""bankofamerica.com/homepage/overview.go?page_msg=signoff&request_locale=en_US""]"	"[1497640270538,1497640367154]"	"[""bankofamerica.com""]"	17	6	16
bankofamerica.com	840	1550	capitalone.com	6	bankofamerica.com/homepage/overview.go	capitalone.com/sign-out	3551ntls43i95m04e9b8fedjid3	"[""bankofamerica.com/homepage/overview.go"",""bankofamerica.com/homepage/overview.go?page_msg=signoff&request_locale=en_US"",""bankofamerica.com/homepage/overview.go"",""bankofamerica.com/homepage/overview.go?page_msg=signoff&request_locale=en_US""]"	"[1496782850188,1496783059500,1496783444093,1496783512505]"	"[""bankofamerica.com/homepage/overview.go""]"	17	6	6
bankofamerica.com	840	1240	capitalone.com	6	bankofamerica.com	capitalone.com/sign-out	84b76587816f347b3d9134bb1815d62e8c7a43ce	"[""bankofamerica.com""]"	[1497633268335]	"[""bankofamerica.com""]"	17	6	16
bankofamerica.com	840	242	capitalone.com	6	bankofamerica.com	capitalone.com/credit-cards/compare/?filter=rewards	fCKKocKtCWyw3nYlFq1ROgC53wanmEFV	"[""bankofamerica.com"",""bankofamerica.com""]"	"[1496762185000,1496762222000]"	"[""bankofamerica.com""]"	17	6	6
bankofamerica.com	840	576	capitalone.com	6	bankofamerica.com	capitalone.com	krdq6qb519kdo1fk2240c2c60mk	"[""bankofamerica.com""]"	[1497436419000]	"[""bankofamerica.com""]"	17	6	14
bankofamerica.com	840	576	capitalone.com	6	bankofamerica.com	capitalone.com/sign-in	nniiq5lm7hrgdl7ia22idf45ke0	"[""bankofamerica.com""]"	[1496932928000]	"[""bankofamerica.com""]"	17	6	8
bankofamerica.com	840	576	chase.com	6	bankofamerica.com	chase.com	1kd01fob0re1blqh8fp0a83p4in	"[""bankofamerica.com""]"	[1497811618000]	"[""bankofamerica.com""]"	17	6	18
bankofamerica.com	840	1240	chase.com	6	bankofamerica.com	chase.com	2811269338fcc3933e655b5511be8bcef7d48f54	"[""bankofamerica.com"",""bankofamerica.com/homepage/overview.go?page_msg=signoff&request_locale=en_us""]"	"[1497345652078,1497345880994]"	"[""bankofamerica.com""]"	17	6	13
bankofamerica.com	840	1240	chase.com	6	bankofamerica.com	chase.com	2811269338fcc3933e655b5511be8bcef7d48f54	"[""bankofamerica.com""]"	[1496693946400]	"[""bankofamerica.com""]"	17	6	5
bankofamerica.com	840	1240	chase.com	6	bankofamerica.com	chase.com	2811269338fcc3933e655b5511be8bcef7d48f54	"[""bankofamerica.com""]"	[1497693208631]	"[""bankofamerica.com""]"	17	6	17
bankofamerica.com	840	1240	chase.com	6	bankofamerica.com	chase.com	2811269338fcc3933e655b5511be8bcef7d48f54	"[""bankofamerica.com"",""bankofamerica.com/homepage/overview.go?page_msg=signoff&request_locale=en_us""]"	"[1497604178654,1497604569063]"	"[""bankofamerica.com""]"	17	6	16
bankofamerica.com	840	1240	chase.com	6	bankofamerica.com	chase.com	2811269338fcc3933e655b5511be8bcef7d48f54	"[""bankofamerica.com""]"	[1497654030424]	"[""bankofamerica.com""]"	17	6	16
bankofamerica.com	840	1240	chase.com	6	bankofamerica.com	chase.com	2811269338fcc3933e655b5511be8bcef7d48f54	"[""bankofamerica.com"",""bankofamerica.com/homepage/overview.go?page_msg=signoff&request_locale=en_us""]"	"[1496385951696,1496386399770]"	"[""bankofamerica.com""]"	17	6	2
bankofamerica.com	840	1240	chase.com	6	bankofamerica.com	chase.com	2811269338fcc3933e655b5511be8bcef7d48f54	"[""bankofamerica.com""]"	[1497866758497]	"[""bankofamerica.com""]"	17	6	19
bankofamerica.com	840	1240	chase.com	6	bankofamerica.com	chase.com	2811269338fcc3933e655b5511be8bcef7d48f54	"[""bankofamerica.com""]"	[1496765125241]	"[""bankofamerica.com""]"	17	6	6
bankofamerica.com	840	1240	chase.com	6	bankofamerica.com	chase.com	3920fcec4b2ff319ba2a2bc1b925c9d2ec17bd60	"[""bankofamerica.com""]"	[1496334356111]	"[""bankofamerica.com""]"	17	6	1
bankofamerica.com	840	1240	chase.com	6	bankofamerica.com	chase.com	6db4f6f18d7bcfcc77e4d6a6857acb79166158fd	"[""bankofamerica.com"",""bankofamerica.com/homepage/overview.go?page_msg=signoff&request_locale=en_us""]"	"[1497499563709,1497499637131]"	"[""bankofamerica.com""]"	17	6	14
bankofamerica.com	840	13022	chase.com	6	bankofamerica.com	chase.com	7Wv8FSsaChWO3GI	"[""bankofamerica.com""]"	[1497907127244]	"[""bankofamerica.com""]"	17	6	19
bankofamerica.com	840	1240	chase.com	6	bankofamerica.com	chase.com	b4ee4b6f248c9270a9626cd3258036a2932c5db8	"[""bankofamerica.com""]"	[1497581134756]	"[""bankofamerica.com""]"	17	6	15
bankofamerica.com	840	576	chase.com	6	bankofamerica.com	chase.com	cf2fj72g5qio18804nhnhe7id1e	"[""bankofamerica.com""]"	[1497196738000]	"[""bankofamerica.com""]"	17	6	11
bankofamerica.com	840	576	chase.com	6	bankofamerica.com	chase.com	da3aanb0hpoe69l9pig65jkli79	"[""bankofamerica.com""]"	[1496806900000]	"[""bankofamerica.com""]"	17	6	6
bankofamerica.com	840	576	chase.com	6	bankofamerica.com/homepage/overview.go?page_msg=signoff&request_locale=en_us	chase.com	ibfc1o3gqhc2ejdcdo4qmj44k2q	"[""bankofamerica.com/homepage/overview.go?page_msg=signoff&request_locale=en_us""]"	[1496332485000]	"[""bankofamerica.com/homepage/overview.go?page_msg=signoff&request_locale=en_us""]"	17	6	1
bankofamerica.com	840	576	chase.com	6	bankofamerica.com	chase.com	lrall2689nkhk481oi4o85hcji0	"[""bankofamerica.com"",""bankofamerica.com"",""bankofamerica.com/homepage/overview.go?page_msg=signoff&request_locale=en_US""]"	"[1496625171000,1496626099000,1496626812000]"	"[""bankofamerica.com""]"	17	6	4
bankofamerica.com	840	576	chase.com	6	bankofamerica.com	chase.com	oc43abi2289rqkf7f9j395jh41d	"[""bankofamerica.com""]"	[1496369714000]	"[""bankofamerica.com""]"	17	6	1
bankofamerica.com	840	576	chase.com	6	bankofamerica.com	chase.com	ph8qqlgf4herl33ejf0n0p69qi9	"[""bankofamerica.com""]"	[1497975848000]	"[""bankofamerica.com""]"	17	6	20
bankofamerica.com	840	576	chase.com	6	bankofamerica.com	chase.com	ph8qqlgf4herl33ejf0n0p69qi9	"[""bankofamerica.com""]"	[1497626611000]	"[""bankofamerica.com""]"	17	6	16
bankofamerica.com	840	1240	citi.com	6	bankofamerica.com/index.jsp	citi.com/credit-cards/citi.action	42b3c460ea56f2de8304c2426b3b509ff479ad66	"[""bankofamerica.com/index.jsp""]"	[1496296536417]	"[""bankofamerica.com/index.jsp""]"	17	6	1
bankofamerica.com	840	576	citi.com	6	bankofamerica.com	citi.com/credit-cards/citi.action	iprqd3nkqlokgrpje4lenomm2ko	"[""bankofamerica.com""]"	[1496685628000]	"[""bankofamerica.com""]"	17	6	5
bankofamerica.com	840	1560	wellsfargo.com	6	bankofamerica.com	wellsfargo.com	las1of8bp06icl8aoortes03pg4	"[""bankofamerica.com"",""bankofamerica.com"",""bankofamerica.com"",""bankofamerica.com/homepage/overview.go?page_msg=signoff&request_locale=en_US""]"	"[1496336945856,1496338171455,1496338805275,1496340512045]"	"[""bankofamerica.com""]"	17	6	1
