site	country	dvisits	dusers	mvisits	musers	year	month
jobs.theguardian.com	124	5160.356121	5080.216282	6729.922291	710.3615971	16	10
jobs.theguardian.com	156	166.0242108	166.0242108	0	0	16	10
jobs.theguardian.com	188	246.5216927	246.5216927	0	0	16	10
jobs.theguardian.com	348	1197.775172	1122.217097	2027.542346	310.2936683	16	10
jobs.theguardian.com	380	5951.33343	5826.491957	1561.548213	149.934978	16	10
jobs.theguardian.com	764	2189.020734	2069.481227	0	0	16	10
jobs.theguardian.com	218	586.3421196	586.3421196	0	0	16	10
jobs.theguardian.com	250	9876.172769	8965.452358	6236.428705	784.4374287	16	10
jobs.theguardian.com	410	627.7008018	517.2618865	65.05385916	1.7908242	16	10
jobs.theguardian.com	634	1498.117696	1468.28701	0	0	16	10
jobs.theguardian.com	826	921128.4719	848945.3183	628512.7114	489456.3686	16	10
jobs.theguardian.com	858	281.4693765	281.4693765	0	0	16	10
jobs.theguardian.com	56	3572.437251	3246.796683	0	0	16	10
jobs.theguardian.com	120	230.5716403	230.5716403	0	0	16	10
jobs.theguardian.com	152	1427.195104	1318.09419	732.4167205	108.8941152	16	10
jobs.theguardian.com	184	358.592419	358.592419	0	0	16	10
jobs.theguardian.com	344	4018.676134	3665.359717	3091.672452	693.590938	16	10
jobs.theguardian.com	376	2450.175344	2144.147179	520.9226688	260.4613344	16	10
jobs.theguardian.com	440	628.9647793	628.9647793	0	0	16	10
jobs.theguardian.com	504	687.2643977	513.9891988	0	0	16	10
jobs.theguardian.com	600	107.4744654	107.4744654	0	0	16	10
jobs.theguardian.com	760	506.0862497	253.9317682	0	0	16	10
jobs.theguardian.com	792	9978.19311	9453.501659	7667.430951	1219.824015	16	10
jobs.theguardian.com	887	47.74041252	47.74041252	0	0	16	10
jobs.theguardian.com	214	213.9175418	213.9175418	0	0	16	10
jobs.theguardian.com	246	955.6394966	900.1050605	0	0	16	10
jobs.theguardian.com	470	1540.684428	1248.93799	0	0	16	10
jobs.theguardian.com	566	1813.404945	1700.582855	0	0	16	10
jobs.theguardian.com	854	167.305357	167.305357	0	0	16	10
jobs.theguardian.com	84	79.67487445	79.67487445	0	0	16	10
jobs.theguardian.com	116	117.1212729	117.1212729	0	0	16	10
jobs.theguardian.com	276	6565.551707	6023.400002	4076.269141	751.9601742	16	10
jobs.theguardian.com	372	17077.9817	12880.9638	0	0	16	10
jobs.theguardian.com	404	2652.141072	2560.713308	8609.33687	1168.404955	16	10
jobs.theguardian.com	724	10326.88516	10083.84315	3855.877337	243.7780825	16	10
jobs.theguardian.com	756	4778.367087	4309.547594	5275.563623	802.3835007	16	10
jobs.theguardian.com	788	2099.973762	1899.657116	0	0	16	10
jobs.theguardian.com	275	60.43170547	60.43170547	0	0	16	10
jobs.theguardian.com	50	1485.909047	1439.202618	0	0	16	10
jobs.theguardian.com	434	49.13326998	49.13326998	0	0	16	10
jobs.theguardian.com	466	179.2801906	179.2801906	0	0	16	10
jobs.theguardian.com	498	1056.974304	602.3022597	0	0	16	10
jobs.theguardian.com	626	10.46450706	10.46450706	0	0	16	10
jobs.theguardian.com	690	933.1160221	744.3730909	0	0	16	10
jobs.theguardian.com	818	3463.215572	3371.539037	1101.486632	409.3154139	16	10
jobs.theguardian.com	112	167.3727788	135.3187553	0	0	16	10
jobs.theguardian.com	144	1532.16849	1451.387664	0	0	16	10
jobs.theguardian.com	208	3230.057608	2783.973287	0	0	16	10
jobs.theguardian.com	368	322.2130933	322.2130933	0	0	16	10
jobs.theguardian.com	400	1111.485514	1002.481682	0	0	16	10
jobs.theguardian.com	528	4435.099647	4146.211798	0	0	16	10
jobs.theguardian.com	688	1169.584637	999.8882365	0	0	16	10
jobs.theguardian.com	752	3192.43559	2851.678195	0	0	16	10
jobs.theguardian.com	784	15571.78008	14515.35107	6955.448897	2765.645394	16	10
jobs.theguardian.com	398	370.394133	313.4251687	0	0	16	10
jobs.theguardian.com	430	63.71504654	63.71504654	0	0	16	10
jobs.theguardian.com	462	177.7535482	177.7535482	0	0	16	10
jobs.theguardian.com	12	580.9397569	548.023524	0	0	16	10
jobs.theguardian.com	44	234.6730954	234.6730954	0	0	16	10
jobs.theguardian.com	76	2813.325878	2813.325878	901.2118126	95.4391683	16	10
jobs.theguardian.com	204	770.3962903	770.3962903	0	0	16	10
jobs.theguardian.com	268	243.8566913	243.8566913	0	0	16	10
jobs.theguardian.com	300	13039.3968	8844.088401	5127.322445	1283.682891	16	10
jobs.theguardian.com	364	973.7595312	926.7222694	0	0	16	10
jobs.theguardian.com	428	561.8952091	561.8952091	0	0	16	10
jobs.theguardian.com	620	2204.65245	2204.65245	3616.465285	669.4714836	16	10
jobs.theguardian.com	716	854.2311906	854.2311906	0	0	16	10
jobs.theguardian.com	780	741.2603754	631.3185968	0	0	16	10
jobs.theguardian.com	203	1957.151369	1837.033318	0	0	16	10
jobs.theguardian.com	170	569.6701722	569.6701722	0	0	16	10
jobs.theguardian.com	426	7632.042846	5157.375693	0	0	16	10
jobs.theguardian.com	458	3866.183079	3671.242417	2277.14957	449.0264058	16	10
jobs.theguardian.com	554	2364.99111	2230.265639	5813.324391	1132.408182	16	10
jobs.theguardian.com	586	5937.065573	5799.769232	0	0	16	10
jobs.theguardian.com	682	3998.715222	3773.141141	1379.271067	231.5171609	16	10
jobs.theguardian.com	233	871.5367552	700.6733376	0	0	16	10
jobs.theguardian.com	8	249.8662255	249.8662255	0	0	16	10
jobs.theguardian.com	40	1062.896374	1062.896374	3125.46349	474.5136303	16	10
jobs.theguardian.com	72	684.01504	684.01504	0	0	16	10
jobs.theguardian.com	104	60.03021773	60.03021773	0	0	16	10
jobs.theguardian.com	360	3256.356786	2764.480873	1113.317691	112.4437537	16	10
jobs.theguardian.com	392	4658.489055	4460.701117	0	0	16	10
jobs.theguardian.com	616	3937.915771	3860.037042	1472.372803	158.4923515	16	10
jobs.theguardian.com	840	30055.28873	28669.44868	20837.10613	1674.489001	16	10
jobs.theguardian.com	231	586.9119746	586.9119746	0	0	16	10
jobs.theguardian.com	807	339.1064105	339.1064105	0	0	16	10
jobs.theguardian.com	999	1218474.555	1120774.515	770806.5453	520269.3486	16	10
jobs.theguardian.com	70	224.2026364	224.2026364	0	0	16	10
jobs.theguardian.com	262	476.5973796	476.5973796	0	0	16	10
jobs.theguardian.com	422	658.205622	658.205622	0	0	16	10
jobs.theguardian.com	454	348.1381165	348.1381165	0	0	16	10
jobs.theguardian.com	646	718.3275603	393.5813383	0	0	16	10
jobs.theguardian.com	710	5370.920862	5033.785602	6894.183162	3337.989098	16	10
jobs.theguardian.com	36	6341.880679	6115.748268	0	0	16	10
jobs.theguardian.com	100	1176.870405	1065.082551	372.0930437	33.99832368	16	10
jobs.theguardian.com	196	1125.313149	1064.767362	0	0	16	10
jobs.theguardian.com	356	14433.79695	14008.21749	14697.05941	8143.498832	16	10
jobs.theguardian.com	388	938.636878	865.7100293	0	0	16	10
jobs.theguardian.com	484	1627.704017	1627.704017	579.6534641	50.05420327	16	10
jobs.theguardian.com	516	1126.135754	1043.292881	0	0	16	10
jobs.theguardian.com	804	1266.183008	1196.619853	220.5957719	0	16	10
jobs.theguardian.com	643	1954.521506	1830.577475	1753.659527	267.1487154	16	10
jobs.theguardian.com	578	374.0419922	374.0419922	0	0	16	10
jobs.theguardian.com	642	1762.972613	1655.607485	3001.066926	549.0986735	16	10
jobs.theguardian.com	706	72.9965616	72.9965616	0	0	16	10
jobs.theguardian.com	834	691.5823442	665.2476916	0	0	16	10
jobs.theguardian.com	705	246.3849676	246.3849676	0	0	16	10
jobs.theguardian.com	833	717.9853159	717.9853159	0	0	16	10
jobs.theguardian.com	32	943.4962468	943.4962468	611.7809339	88.27331255	16	10
jobs.theguardian.com	96	118.5581272	118.5581272	0	0	16	10
jobs.theguardian.com	288	563.6612159	563.6612159	0	0	16	10
jobs.theguardian.com	320	391.4298268	391.4298268	0	0	16	10
jobs.theguardian.com	352	101.1934045	101.1934045	0	0	16	10
jobs.theguardian.com	384	47.97809127	47.97809127	0	0	16	10
jobs.theguardian.com	480	750.2722444	750.2722444	0	0	16	10
jobs.theguardian.com	512	702.1673012	702.1673012	0	0	16	10
jobs.theguardian.com	608	3001.426764	3001.426764	2469.548909	1004.966236	16	10
jobs.theguardian.com	704	6532.098567	6174.160627	2227.600279	244.550101	16	10
jobs.theguardian.com	736	656.060776	656.060776	0	0	16	10
jobs.theguardian.com	768	148.1678707	148.1678707	0	0	16	10
jobs.theguardian.com	800	378.8821404	378.8821404	0	0	16	10
jobs.theguardian.com	31	532.9891567	532.9891567	0	0	16	10
jobs.theguardian.com	191	1821.10578	1765.141409	936.4666541	126.5324511	16	10
jobs.theguardian.com	703	360.1656347	360.1656347	0	0	16	10
jobs.theguardian.com	158	891.6879946	891.6879946	0	0	16	10
jobs.theguardian.com	414	283.4058849	283.4058849	0	0	16	10
jobs.theguardian.com	702	2963.539066	2886.845157	4360.200375	304.3096474	16	10
jobs.theguardian.com	862	444.3326141	444.3326141	0	0	16	10
jobs.theguardian.com	894	188.0074779	188.0074779	0	0	16	10
jobs.theguardian.com	28	356.7712732	356.7712732	0	0	16	11
jobs.theguardian.com	60	194.3313016	194.3313016	0	0	16	11
jobs.theguardian.com	124	6854.498172	6604.525965	0	0	16	11
jobs.theguardian.com	156	473.3553884	448.1353361	0	0	16	11
jobs.theguardian.com	348	307.495511	307.495511	0	0	16	11
jobs.theguardian.com	380	6282.4152	5777.060204	1301.148661	0	16	11
jobs.theguardian.com	604	362.1650929	362.1650929	0	0	16	11
jobs.theguardian.com	764	2670.792969	2300.894269	0	0	16	11
jobs.theguardian.com	860	158.8279829	158.8279829	0	0	16	11
jobs.theguardian.com	250	12960.04654	12264.44611	6638.67368	969.6622534	16	11
jobs.theguardian.com	410	399.2122076	399.2122076	321.1092365	41.70744993	16	11
jobs.theguardian.com	442	218.0246618	218.0246618	0	0	16	11
jobs.theguardian.com	634	1747.030346	1720.855934	0	0	16	11
jobs.theguardian.com	826	843854.0054	781749.8083	515211.3889	418777.2929	16	11
jobs.theguardian.com	56	2679.94736	2417.903357	6842.130833	2154.676306	16	11
jobs.theguardian.com	120	115.5164732	115.5164732	0	0	16	11
jobs.theguardian.com	152	436.9009815	436.9009815	746.6554666	98.05049384	16	11
jobs.theguardian.com	344	2306.959355	2186.789695	7720.066903	1202.57151	16	11
jobs.theguardian.com	376	971.322631	915.0132786	1882.097333	97.59974999	16	11
jobs.theguardian.com	440	953.7159569	953.7159569	0	0	16	11
jobs.theguardian.com	504	1007.929286	1007.929286	0	0	16	11
jobs.theguardian.com	760	1163.403658	931.7607867	0	0	16	11
jobs.theguardian.com	792	6640.613657	6168.359554	3716.920971	826.5543825	16	11
jobs.theguardian.com	246	756.0891695	700.4692829	0	0	16	11
jobs.theguardian.com	470	1836.792052	1638.61167	0	0	16	11
jobs.theguardian.com	566	1774.625815	1556.894755	0	0	16	11
jobs.theguardian.com	662	812.6698618	812.6698618	0	0	16	11
jobs.theguardian.com	694	225.6189184	225.6189184	0	0	16	11
jobs.theguardian.com	52	563.9125385	563.9125385	0	0	16	11
jobs.theguardian.com	116	105.0921415	105.0921415	0	0	16	11
jobs.theguardian.com	276	4005.360148	3709.847965	2377.51256	442.8973461	16	11
jobs.theguardian.com	340	102.4295931	102.4295931	0	0	16	11
jobs.theguardian.com	372	7159.850137	6812.466242	0	0	16	11
jobs.theguardian.com	404	1829.641699	1784.303804	0	0	16	11
jobs.theguardian.com	724	11495.75965	11145.41098	0	0	16	11
jobs.theguardian.com	756	3982.593698	3982.593698	497.9758971	0	16	11
jobs.theguardian.com	788	1136.376975	1136.376975	0	0	16	11
jobs.theguardian.com	51	216.8097822	216.8097822	0	0	16	11
jobs.theguardian.com	50	1043.484787	1013.011668	0	0	16	11
jobs.theguardian.com	242	86.00513637	86.00513637	0	0	16	11
jobs.theguardian.com	434	181.5259352	139.7153998	0	0	16	11
jobs.theguardian.com	498	93.85633348	93.85633348	0	0	16	11
jobs.theguardian.com	818	2793.720348	2724.822381	1008.817577	364.7753674	16	11
jobs.theguardian.com	48	749.6139892	749.6139892	0	0	16	11
jobs.theguardian.com	112	39.02401759	39.02401759	0	0	16	11
jobs.theguardian.com	144	930.3597415	930.3597415	0	0	16	11
jobs.theguardian.com	208	1943.86549	1839.344282	0	0	16	11
jobs.theguardian.com	368	197.8715863	197.8715863	0	0	16	11
jobs.theguardian.com	400	244.8961375	244.8961375	0	0	16	11
jobs.theguardian.com	496	24.8744915	24.8744915	0	0	16	11
jobs.theguardian.com	528	6931.318013	6334.638513	4890.780845	888.6566934	16	11
jobs.theguardian.com	688	443.5032525	414.095077	0	0	16	11
jobs.theguardian.com	752	2169.342337	2004.109626	0	0	16	11
jobs.theguardian.com	784	16990.34428	16235.63405	4841.651964	1539.223252	16	11
jobs.theguardian.com	398	162.7295061	162.7295061	0	0	16	11
jobs.theguardian.com	558	354.1513985	354.1513985	0	0	16	11
jobs.theguardian.com	686	553.2485067	553.2485067	0	0	16	11
jobs.theguardian.com	12	1284.809695	1284.809695	0	0	16	11
jobs.theguardian.com	76	1378.99116	1378.99116	0	0	16	11
jobs.theguardian.com	268	378.1048659	378.1048659	0	0	16	11
jobs.theguardian.com	300	9923.873173	8109.584823	2345.289567	342.5830155	16	11
jobs.theguardian.com	364	1404.405281	1404.405281	0	0	16	11
jobs.theguardian.com	428	473.6891797	473.6891797	393.1832191	53.14770516	16	11
jobs.theguardian.com	524	219.1834276	219.1834276	0	0	16	11
jobs.theguardian.com	620	3019.647896	2612.195089	2907.396695	478.9803445	16	11
jobs.theguardian.com	716	1509.488736	1411.686854	0	0	16	11
jobs.theguardian.com	748	465.4429222	290.9018264	0	0	16	11
jobs.theguardian.com	780	343.8218995	343.8218995	0	0	16	11
jobs.theguardian.com	203	439.0453929	439.0453929	0	0	16	11
jobs.theguardian.com	170	428.0955566	428.0955566	748.9216723	97.19242591	16	11
jobs.theguardian.com	426	10597.73564	8220.231721	0	0	16	11
jobs.theguardian.com	458	3266.720811	3205.899762	2522.028316	587.2657817	16	11
jobs.theguardian.com	554	2220.105905	2161.417663	5368.487657	497.5305559	16	11
jobs.theguardian.com	586	3669.842786	3574.920112	0	0	16	11
jobs.theguardian.com	682	2311.151866	2211.451465	2390.567903	677.4497665	16	11
jobs.theguardian.com	233	138.1177699	113.7015889	0	0	16	11
jobs.theguardian.com	8	78.5474697	78.5474697	0	0	16	11
jobs.theguardian.com	40	2026.773514	1811.04829	0	0	16	11
jobs.theguardian.com	72	858.2311935	744.5388715	0	0	16	11
jobs.theguardian.com	328	90.23326061	90.23326061	0	0	16	11
jobs.theguardian.com	360	2057.609102	2000.182094	1104.464827	76.4393564	16	11
jobs.theguardian.com	392	1210.55053	1069.208728	0	0	16	11
jobs.theguardian.com	616	5190.53928	4841.924275	0	0	16	11
jobs.theguardian.com	840	39319.40982	36868.13715	21304.63106	2585.945463	16	11
jobs.theguardian.com	231	192.78666	192.78666	0	0	16	11
jobs.theguardian.com	807	362.4939205	362.4939205	0	0	16	11
jobs.theguardian.com	999	1126121.416	1045912.561	647161.6559	447020.643	16	11
jobs.theguardian.com	70	476.7030283	476.7030283	0	0	16	11
jobs.theguardian.com	422	669.4888133	669.4888133	0	0	16	11
jobs.theguardian.com	646	284.1773945	284.1773945	0	0	16	11
jobs.theguardian.com	710	4507.161879	4325.777217	4642.70809	2106.330797	16	11
jobs.theguardian.com	4	121.9003486	121.9003486	0	0	16	11
jobs.theguardian.com	36	4916.194909	4818.590721	22864.02976	3479.34134	16	11
jobs.theguardian.com	100	1492.283388	1433.315235	445.8766003	38.75013763	16	11
jobs.theguardian.com	196	957.267857	859.6079386	0	0	16	11
jobs.theguardian.com	356	18926.39834	18031.77844	13116.30238	7069.29105	16	11
jobs.theguardian.com	388	156.5765109	156.5765109	0	0	16	11
jobs.theguardian.com	484	1073.8987	968.7191257	0	0	16	11
jobs.theguardian.com	804	1663.336753	1585.283924	0	0	16	11
jobs.theguardian.com	643	2505.710107	2379.702612	911.4371653	93.88908569	16	11
jobs.theguardian.com	578	467.3121829	467.3121829	0	0	16	11
jobs.theguardian.com	642	2874.588891	2648.299842	1485.840943	172.2270225	16	11
jobs.theguardian.com	706	125.3847351	83.21401844	0	0	16	11
jobs.theguardian.com	834	7300.961434	6666.428459	0	0	16	11
jobs.theguardian.com	417	23.59044204	23.59044204	0	0	16	11
jobs.theguardian.com	705	411.48243	411.48243	0	0	16	11
jobs.theguardian.com	32	1016.043035	878.7661937	0	0	16	11
jobs.theguardian.com	96	72.03269357	72.03269357	0	0	16	11
jobs.theguardian.com	288	608.3610762	538.8542117	0	0	16	11
jobs.theguardian.com	352	119.6255022	119.6255022	0	0	16	11
jobs.theguardian.com	384	130.1276321	130.1276321	0	0	16	11
jobs.theguardian.com	480	472.1970069	472.1970069	0	0	16	11
jobs.theguardian.com	512	897.745625	780.6586743	0	0	16	11
jobs.theguardian.com	608	2148.338918	2148.338918	1878.570698	798.8960917	16	11
jobs.theguardian.com	704	3345.017458	3240.023387	2075.432407	202.6233297	16	11
jobs.theguardian.com	736	174.060609	118.1608081	0	0	16	11
jobs.theguardian.com	800	1012.212867	1012.212867	0	0	16	11
jobs.theguardian.com	832	55.94710289	55.94710289	0	0	16	11
jobs.theguardian.com	31	503.3096904	458.4241347	0	0	16	11
jobs.theguardian.com	191	1166.552838	1062.542799	492.956439	59.62172661	16	11
jobs.theguardian.com	703	323.7111853	323.7111853	0	0	16	11
jobs.theguardian.com	158	1045.140725	971.310849	1410.189489	199.4703447	16	11
jobs.theguardian.com	254	115.5735979	115.5735979	0	0	16	11
jobs.theguardian.com	414	322.7617039	322.7617039	0	0	16	11
jobs.theguardian.com	446	98.32425299	98.32425299	0	0	16	11
jobs.theguardian.com	702	2264.215015	2264.215015	756.410198	0	16	11
jobs.theguardian.com	862	452.8573325	452.8573325	0	0	16	11
jobs.theguardian.com	894	910.754372	910.754372	0	0	16	11
jobs.theguardian.com	60	178.5565519	178.5565519	0	0	16	12
jobs.theguardian.com	124	4421.497664	4421.497664	0	0	16	12
jobs.theguardian.com	156	730.6149485	688.088078	0	0	16	12
jobs.theguardian.com	188	115.89013	115.89013	0	0	16	12
jobs.theguardian.com	348	949.453032	949.453032	0	0	16	12
jobs.theguardian.com	380	5279.06371	5026.173911	11056.18135	2181.858974	16	12
jobs.theguardian.com	604	114.3602709	114.3602709	0	0	16	12
jobs.theguardian.com	764	2088.501845	2088.501845	0	0	16	12
jobs.theguardian.com	860	104.0214663	104.0214663	0	0	16	12
jobs.theguardian.com	250	7359.36294	7235.354892	5277.1786	902.24881	16	12
jobs.theguardian.com	410	857.1705009	857.1705009	0	0	16	12
jobs.theguardian.com	442	172.8624546	172.8624546	0	0	16	12
jobs.theguardian.com	634	2737.198008	2258.427747	0	0	16	12
jobs.theguardian.com	826	650520.9868	605757.1799	526111.1861	371056.392	16	12
jobs.theguardian.com	858	286.3833717	286.3833717	0	0	16	12
jobs.theguardian.com	56	5891.267862	5596.332951	2105.380717	0	16	12
jobs.theguardian.com	120	172.0705904	172.0705904	0	0	16	12
jobs.theguardian.com	152	323.0036786	323.0036786	0	0	16	12
jobs.theguardian.com	344	1655.07084	1605.333667	514.5976786	0	16	12
jobs.theguardian.com	376	994.3264481	904.1643004	539.6793816	53.67281058	16	12
jobs.theguardian.com	440	349.2344256	349.2344256	654.8658724	99.06200723	16	12
jobs.theguardian.com	504	1202.641517	1202.641517	0	0	16	12
jobs.theguardian.com	600	451.2850735	451.2850735	0	0	16	12
jobs.theguardian.com	792	4387.326208	3978.792707	1631.97721	318.8652721	16	12
jobs.theguardian.com	214	319.401769	319.401769	0	0	16	12
jobs.theguardian.com	246	594.4835042	594.4835042	0	0	16	12
jobs.theguardian.com	470	1100.48258	1100.48258	0	0	16	12
jobs.theguardian.com	566	1896.171928	1737.609975	0	0	16	12
jobs.theguardian.com	598	789.5652174	789.5652174	0	0	16	12
jobs.theguardian.com	854	137.6867054	137.6867054	0	0	16	12
jobs.theguardian.com	20	164.1793861	164.1793861	0	0	16	12
jobs.theguardian.com	116	31.0707946	31.0707946	0	0	16	12
jobs.theguardian.com	276	4172.021795	3721.367969	1085.414587	0	16	12
jobs.theguardian.com	372	5491.857191	5409.679851	0	0	16	12
jobs.theguardian.com	404	2052.9634	1953.358312	0	0	16	12
jobs.theguardian.com	724	10813.42187	9914.434426	9110.648486	1293.753601	16	12
jobs.theguardian.com	756	4356.960017	4288.677635	0	0	16	12
jobs.theguardian.com	788	680.9948086	602.3398759	0	0	16	12
jobs.theguardian.com	51	62.40323888	62.40323888	0	0	16	12
jobs.theguardian.com	499	150.0099083	150.0099083	0	0	16	12
jobs.theguardian.com	50	872.2665129	855.1990852	0	0	16	12
jobs.theguardian.com	242	435.3155677	435.3155677	0	0	16	12
jobs.theguardian.com	434	65.52096856	65.52096856	0	0	16	12
jobs.theguardian.com	498	62.71225809	62.71225809	0	0	16	12
jobs.theguardian.com	690	164.1080232	164.1080232	0	0	16	12
jobs.theguardian.com	818	2740.252812	2670.433272	575.0924776	132.6156021	16	12
jobs.theguardian.com	48	862.4492745	862.4492745	0	0	16	12
jobs.theguardian.com	112	135.8742101	135.8742101	0	0	16	12
jobs.theguardian.com	144	926.203815	926.203815	0	0	16	12
jobs.theguardian.com	208	780.2488964	780.2488964	0	0	16	12
jobs.theguardian.com	368	235.6809538	156.474871	0	0	16	12
jobs.theguardian.com	400	591.9116544	591.9116544	0	0	16	12
jobs.theguardian.com	496	138.0388354	138.0388354	0	0	16	12
jobs.theguardian.com	528	5001.907528	4782.346887	4668.411294	363.0285405	16	12
jobs.theguardian.com	688	736.1384127	650.9441777	0	0	16	12
jobs.theguardian.com	752	1138.827086	1014.669298	0	0	16	12
jobs.theguardian.com	784	12717.01679	12029.78288	4867.040907	1411.98065	16	12
jobs.theguardian.com	270	440.4281466	440.4281466	0	0	16	12
jobs.theguardian.com	398	437.3954909	337.7798584	0	0	16	12
jobs.theguardian.com	462	56.06065608	56.06065608	0	0	16	12
jobs.theguardian.com	12	247.4477116	247.4477116	0	0	16	12
jobs.theguardian.com	44	197.420405	197.420405	0	0	16	12
jobs.theguardian.com	76	1207.19076	1117.798177	0	0	16	12
jobs.theguardian.com	300	6617.2578	5368.996575	3749.611009	963.1856651	16	12
jobs.theguardian.com	364	1261.149478	1261.149478	0	0	16	12
jobs.theguardian.com	428	328.5179149	301.7873318	0	0	16	12
jobs.theguardian.com	524	164.1735523	164.1735523	0	0	16	12
jobs.theguardian.com	620	3526.827748	3254.708691	995.9609813	497.9804906	16	12
jobs.theguardian.com	716	863.0088945	863.0088945	0	0	16	12
jobs.theguardian.com	780	909.1324044	687.4394498	0	0	16	12
jobs.theguardian.com	203	864.3384356	808.3926548	0	0	16	12
jobs.theguardian.com	170	741.5681083	741.5681083	0	0	16	12
jobs.theguardian.com	426	2977.454048	2977.454048	0	0	16	12
