monthlysourcecountrydis.site	monthlysourcecountrydis.country	monthlysourcecountrydis.source	monthlysourcecountrydis.visits	monthlysourcecountrydis.monthly_uniques	monthlysourcecountrydis.sum_dau	monthlysourcecountrydis.year	monthlysourcecountrydis.month
ru.swissquote.com	643	1841	13	7	10	17	3
fr.swissquote.com	756	13017	2	1	2	17	4
en.swissquote.com	84029	123017	1	1	1	17	4
en.swissquote.com	76	123017	1	1	1	17	1
en.swissquote.com	756	1940	1	1	1	17	1
ru.swissquote.com	643	1587	27	13	22	17	1
en.swissquote.com	76	1560	1	1	1	17	1
en.swissquote.com	112	1586	1	1	1	17	1
en.swissquote.com	512	1586	1	1	1	17	1
advancedtrader.swissquote.com	643	1814	3	3	3	17	1
en.swissquote.com	504	1240	1	1	1	17	1
en.swissquote.com	682	1587	5	2	4	17	1
en.swissquote.com	84025	1560	1	1	1	17	1
ar.swissquote.com	682	123017	4	1	2	17	2
ru.swissquote.com	643	1244	14	9	13	17	2
ru.swissquote.com	724	1580	1	1	1	17	2
fr.swissquote.com	392	1822	1	1	1	17	2
ru.swissquote.com	804	13017	4	4	4	17	2
apply.swissquote.com	250	1587	4	1	3	17	2
en.swissquote.com	704	1586	4	1	4	17	2
it.swissquote.com	84026	1940	1	1	1	17	3
en.swissquote.com	8404	1586	1	1	1	17	3
files.swissquote.com	682	1576	1	1	1	17	1
apply.swissquote.com	804	1586	3	2	2	17	1
mailing.swissquote.com	784	1576	1	1	1	17	1
tw.swissquote.com	158	1808	1	1	1	17	1
en.swissquote.com	643	1587	2	1	2	17	2
en.swissquote.com	250	1240	4	3	4	17	2
en.swissquote.com	528	1550	1	1	1	17	2
en.swissquote.com	764	1576	1	1	1	17	2
it.swissquote.com	380	1240	4	4	4	17	2
cn.swissquote.com	8406	1661	1	1	1	17	2
en.swissquote.com	8409	1822	2	1	2	17	2
en.swissquote.com	784	1587	1	1	1	17	3
en.swissquote.com	50	1586	5	1	2	17	3
en.swissquote.com	372	13004	1	1	1	17	3
de.swissquote.com	276	1940	2	1	2	17	4
en.swissquote.com	250	1560	2	2	2	17	4
en.swissquote.com	643	1244	26	1	21	17	4
it.swissquote.com	380	1560	2	2	2	17	4
ar.swissquote.com	784	1560	1	1	1	17	4
en.swissquote.com	440	1560	6	2	5	17	4
ru.swissquote.com	804	123017	1	1	1	17	4
en.swissquote.com	124	1577	1	1	1	17	1
demo-wt.swissquote.com	682	1240	1	1	1	17	1
ru.swissquote.com	804	1587	22	3	21	17	1
apply.swissquote.com	756	12	3	1	2	17	2
files.swissquote.com	643	1814	6	1	6	17	2
en.swissquote.com	36	1560	2	1	2	17	3
en.swissquote.com	376	1560	16	7	14	17	3
apply.swissquote.com	84012	1587	1	1	1	17	3
en.swissquote.com	604	123017	1	1	1	17	4
files.swissquote.com	616	1577	1	1	1	17	4
tw.swissquote.com	158	123017	3	3	3	17	4
en.swissquote.com	300	1560	1	1	1	17	4
en.swissquote.com	250	1242	1	1	1	17	4
ru.swissquote.com	643	1841	12	7	11	17	4
en.swissquote.com	784	1940	1	1	1	17	1
livechat2.swissquote.com	380	1576	2	1	1	17	1
ru.swissquote.com	643	1808	2	2	2	17	1
en.swissquote.com	756	1576	5	3	5	17	1
fr.swissquote.com	756	199090	1	1	1	17	1
apply.swissquote.com	643	1240	2	2	2	17	1
en.swissquote.com	724	1240	7	4	6	17	1
en.swissquote.com	504	1240	1	1	1	17	2
en.swissquote.com	682	1587	5	2	3	17	2
en.swissquote.com	704	1240	1	1	1	17	2
it.swissquote.com	380	1586	1	1	1	17	2
livechat2.swissquote.com	724	1576	1	1	1	17	2
en.swissquote.com	84047	1244	1	1	1	17	2
en.swissquote.com	196	1560	4	3	4	17	3
fr.swissquote.com	250	1576	1	1	1	17	3
en.swissquote.com	100	1822	1	1	1	17	3
en.swissquote.com	300	1822	7	1	6	17	3
en.swissquote.com	203	1240	2	1	2	17	4
livechat2.swissquote.com	32	1576	1	1	1	17	4
advancedtrader.swissquote.com	643	1586	1	1	1	17	1
en.swissquote.com	788	1560	2	1	2	17	1
wt.swissquote.com	784	1560	3	1	1	17	1
en.swissquote.com	170	13017	1	1	1	17	1
advancedtrader.swissquote.com	756	1577	1	1	1	17	1
it.swissquote.com	804	1550	1	1	1	17	1
ru.swissquote.com	643	1841	6	5	6	17	1
en.swissquote.com	784	1550	7	1	7	17	2
files.swissquote.com	188	1822	1	1	1	17	2
de.swissquote.com	276	1940	1	1	1	17	2
en.swissquote.com	50	1560	1	1	1	17	2
en.swissquote.com	250	1560	1	1	1	17	2
en.swissquote.com	643	1244	11	8	11	17	2
en.swissquote.com	764	1940	2	1	2	17	2
fr.swissquote.com	504	1576	1	1	1	17	2
fr.swissquote.com	704	1576	1	1	1	17	2
tw.swissquote.com	158	1576	1	1	1	17	3
ar.swissquote.com	300	1560	1	1	1	17	4
en.swissquote.com	156	1560	1	1	1	17	4
en.swissquote.com	356	1560	1	1	1	17	4
en.swissquote.com	756	1560	5	5	5	17	4
apply.swissquote.com	682	1240	1	1	1	17	4
fr.swissquote.com	756	1822	2	1	2	17	1
apply.swissquote.com	124	1587	1	1	1	17	2
demo-wt.swissquote.com	764	1940	1	1	1	17	2
en.swissquote.com	8404	1201	1	1	1	17	2
advancedtrader.swissquote.com	682	1240	1	1	1	17	3
tw.swissquote.com	158	1577	2	2	2	17	3
tw.swissquote.com	158	1739	1	1	1	17	3
fr.swissquote.com	756	1241	2	1	2	17	4
apply.swissquote.com	818	13017	1	1	1	17	4
cn.swissquote.com	156	1661	6	6	6	17	1
en.swissquote.com	784	13017	1	1	1	17	1
fr.swissquote.com	826	1587	1	1	1	17	1
en.swissquote.com	276	1243	1	1	1	17	1
en.swissquote.com	710	1560	1	1	1	17	1
en.swissquote.com	756	170	1	1	1	17	1
fr.swissquote.com	250	1240	1	1	1	17	1
apply.swissquote.com	760	123017	1	1	1	17	2
demo-advancedtrader.swissquote.com	442	1560	1	1	1	17	2
en.swissquote.com	250	1808	4	1	3	17	2
ar.swissquote.com	682	1560	1	1	1	17	2
files.swissquote.com	643	1240	2	1	2	17	2
ru.swissquote.com	112	1586	1	1	1	17	2
en.swissquote.com	804	1587	2	2	2	17	4
ru.swissquote.com	643	1814	70	46	60	17	4
apply.swissquote.com	188	1240	2	1	1	17	1
en.swissquote.com	784	1560	1	1	1	17	1
de.swissquote.com	756	1246	1	1	1	17	2
en.swissquote.com	344	1822	2	1	1	17	2
ru.swissquote.com	112	1587	1	1	1	17	2
ru.swissquote.com	643	1841	9	8	9	17	2
en.swissquote.com	764	1550	1	1	1	17	3
ru.swissquote.com	703	1814	1	1	1	17	3
ar.swissquote.com	682	123017	5	1	3	17	4
ar.swissquote.com	682	1577	1	1	1	17	4
en.swissquote.com	826	1940	3	3	3	17	4
es.swissquote.com	152	1576	1	1	1	17	4
ru.swissquote.com	643	1244	13	10	12	17	4
files.swissquote.com	826	1940	3	1	3	17	4
tw.swissquote.com	158	1241	2	1	1	17	4
en.swissquote.com	826	1587	1	1	1	17	2
de.swissquote.com	792	1560	1	1	1	17	3
en.swissquote.com	756	13017	1	1	1	17	3
static.swissquote.com	643	123017	3	1	3	17	3
ar.swissquote.com	376	1560	1	1	1	17	3
en.swissquote.com	398	1243	1	1	1	17	3
swissquote.com	756	1240	1	1	1	17	3
fr.swissquote.com	250	1240	6	3	4	17	3
apply.swissquote.com	682	1586	1	1	1	17	3
tw.swissquote.com	158	13001	1	1	1	17	3
fr.swissquote.com	12	13017	1	1	1	17	4
ru.swissquote.com	643	1940	3	3	3	17	4
en.swissquote.com	784	1586	2	2	2	17	4
files.swissquote.com	804	1586	1	1	1	17	4
ar.swissquote.com	682	13017	1	1	1	17	4
apply.swissquote.com	434	1586	1	1	1	17	1
de.swissquote.com	276	1240	1	1	1	17	1
en.swissquote.com	643	1814	14	8	13	17	1
en.swissquote.com	764	1240	5	2	4	17	1
ru.swissquote.com	643	123017	3	2	2	17	1
en.swissquote.com	702	13017	1	1	1	17	1
en.swissquote.com	826	1560	3	2	3	17	1
de.swissquote.com	84031	13017	1	1	1	17	1
en.swissquote.com	12	1586	1	1	1	17	2
en.swissquote.com	376	1560	11	7	9	17	2
static.swissquote.com	300	1822	1	1	1	17	3
demo-wt.swissquote.com	84031	13017	6	1	5	17	1
en.swissquote.com	643	1243	1	1	1	17	2
de.swissquote.com	756	1240	17	13	17	17	2
fr.swissquote.com	250	1586	1	1	1	17	2
de.swissquote.com	643	1587	2	1	1	17	3
cn.swissquote.com	156	1560	1	1	1	17	4
de.swissquote.com	250	13017	1	1	1	17	1
en.swissquote.com	498	1586	1	1	1	17	1
ru.swissquote.com	276	13017	1	1	1	17	1
fr.swissquote.com	84031	1240	2	1	2	17	1
en.swissquote.com	8406	1586	1	1	1	17	1
en.swissquote.com	784	1560	2	2	2	17	2
en.swissquote.com	818	123017	2	1	1	17	2
apply.swissquote.com	643	1841	2	2	2	17	2
de.swissquote.com	756	1940	5	3	3	17	2
demo-advancedtrader.swissquote.com	356	1576	1	1	1	17	2
en.swissquote.com	756	1577	2	1	2	17	2
en.swissquote.com	764	123017	1	1	1	17	2
fr.swissquote.com	250	12	1	1	1	17	2
livechat2.swissquote.com	380	1242	1	1	1	17	2
en.swissquote.com	250	1940	4	1	2	17	2
en.swissquote.com	372	1586	1	1	1	17	2
files.swissquote.com	756	1560	1	1	1	17	2
it.swissquote.com	380	1940	1	1	1	17	2
en.swissquote.com	203	1560	2	2	2	17	3
ru.swissquote.com	804	1587	8	6	7	17	3
apply.swissquote.com	276	1814	1	1	1	17	4
files.swissquote.com	458	1586	1	1	1	17	4
apply.swissquote.com	12	1576	1	1	1	17	4
en.swissquote.com	156	1560	1	1	1	17	1
en.swissquote.com	756	1560	1	1	1	17	1
en.swissquote.com	124	1576	5	1	3	17	1
en.swissquote.com	724	1576	1	1	1	17	1
apply.swissquote.com	643	1243	1	1	1	17	1
de.swissquote.com	756	13026	3	1	3	17	1
en.swissquote.com	643	1240	4	4	4	17	1
en.swissquote.com	792	123017	5	2	5	17	1
ru.swissquote.com	690	1841	1	1	1	17	1
apply.swissquote.com	804	1587	1	1	1	17	2
ar.swissquote.com	792	123017	2	1	2	17	2
de.swissquote.com	36	1845	1	1	1	17	2
en.swissquote.com	458	1586	1	1	1	17	2
cn.swissquote.com	156	1661	15	10	15	17	4
en.swissquote.com	756	1243	1	1	1	17	4
en.swissquote.com	826	1586	1	1	1	17	4
ru.swissquote.com	804	13017	2	2	2	17	4
en.swissquote.com	0	1576	1	1	1	17	4
es.swissquote.com	724	1940	4	3	4	17	4
apply.swissquote.com	756	1847	1	1	1	17	1
de.swissquote.com	756	1550	1	1	1	17	1
en.swissquote.com	144	1587	2	1	1	17	1
fr.swissquote.com	250	1940	1	1	1	17	1
de.swissquote.com	756	13017	1	1	1	17	2
en.swissquote.com	804	1586	2	1	2	17	2
livechat2.swissquote.com	643	1814	1	1	1	17	2
mailing.swissquote.com	380	13017	1	1	1	17	2
files.swissquote.com	360	1586	1	1	1	17	2
en.swissquote.com	484	1560	1	1	1	17	2
es.swissquote.com	724	1576	1	1	1	17	2
files.swissquote.com	380	13017	1	1	1	17	2
en.swissquote.com	203	1560	1	1	1	17	2
ru.swissquote.com	804	1587	29	7	27	17	2
en.swissquote.com	84033	1550	1	1	1	17	2
de.swissquote.com	756	1242	5	3	4	17	4
en.swissquote.com	705	1560	3	1	2	17	4
fr.swissquote.com	8406	1550	1	1	1	17	4
files.swissquote.com	643	1244	14	2	14	17	1
files.swissquote.com	764	1940	1	1	1	17	1
ru.swissquote.com	804	1586	10	7	8	17	1
fr.swissquote.com	84031	1576	4	1	2	17	2
en.swissquote.com	100	123017	1	1	1	17	3
en.swissquote.com	300	123017	2	1	2	17	3
en.swissquote.com	380	1940	1	1	1	17	3
ru.swissquote.com	804	1560	3	2	3	17	3
apply.swissquote.com	368	1240	1	1	1	17	3
en.swissquote.com	600	1586	1	1	1	17	3
en.swissquote.com	112	123017	1	1	1	17	3
files.swissquote.com	348	1576	2	1	2	17	4
en.swissquote.com	380	1550	1	1	1	17	4
en.swissquote.com	643	1739	1	1	1	17	4
en.swissquote.com	756	1242	1	1	1	17	4
ru.swissquote.com	804	1241	1	1	1	17	4
livechat2.swissquote.com	682	1240	1	1	1	17	1
ru.swissquote.com	417	1244	11	1	7	17	1
en.swissquote.com	643	1587	6	6	6	17	1
en.swissquote.com	756	123017	6	2	4	17	1
es.swissquote.com	484	199992	1	1	1	17	1
apply.swissquote.com	76	1822	1	1	1	17	2
apply.swissquote.com	792	1587	3	1	2	17	2
de.swissquote.com	756	123017	1	1	1	17	2
en.swissquote.com	203	1244	1	1	1	17	2
ar.swissquote.com	682	1587	1	1	1	17	2
ar.swissquote.com	818	1576	1	1	1	17	2
fr.swissquote.com	756	1577	2	1	2	17	2
ar.swissquote.com	250	1587	3	1	3	17	2
ru.swissquote.com	398	123017	1	1	1	17	2
apply.swissquote.com	643	1240	2	2	2	17	3
en.swissquote.com	124	1240	1	1	1	17	3
apply.swissquote.com	158	1577	1	1	1	17	3
ar.swissquote.com	76	1822	1	1	1	17	1
en.swissquote.com	784	1576	2	2	2	17	1
files.swissquote.com	804	1586	1	1	1	17	1
es.swissquote.com	32	1240	1	1	1	17	2
en.swissquote.com	84036	1240	1	1	1	17	2
apply.swissquote.com	643	123017	1	1	1	17	3
en.swissquote.com	784	13026	1	1	1	17	3
apply.swissquote.com	643	1587	2	1	1	17	3
en.swissquote.com	124	1587	1	1	1	17	3
es.swissquote.com	702	1560	1	1	1	17	3
apply.swissquote.com	643	1814	14	4	7	17	3
ar.swissquote.com	504	1560	1	1	1	17	3
livechat2.swissquote.com	756	1240	4	2	3	17	3
de.swissquote.com	84031	1242	2	1	2	17	3
files.swissquote.com	643	1244	2	1	2	17	4
ru.swissquote.com	804	1586	10	9	9	17	4
it.swissquote.com	84047	1560	1	1	1	17	4
ar.swissquote.com	682	1822	2	1	1	17	1
de.swissquote.com	276	1586	1	1	1	17	2
en.swissquote.com	528	1560	1	1	1	17	2
en.swissquote.com	764	1586	1	1	1	17	2
cn.swissquote.com	156	1822	2	2	2	17	2
fr.swissquote.com	756	1243	1	1	1	17	2
ru.swissquote.com	380	13017	29	1	17	17	4
apply.swissquote.com	124	1822	1	1	1	17	4
it.swissquote.com	380	13017	19	1	15	17	4
mailing.swissquote.com	710	1560	1	1	1	17	4
ru.swissquote.com	276	1814	3	1	3	17	4
en.swissquote.com	380	1841	1	1	1	17	4
es.swissquote.com	826	1576	1	1	1	17	4
fr.swissquote.com	788	1822	2	1	2	17	4
livechat2.swissquote.com	360	1587	1	1	1	17	4
de.swissquote.com	702	1242	2	1	1	17	4
it.swissquote.com	380	1576	3	1	2	17	4
en.swissquote.com	8404	1586	1	1	1	17	4
es.swissquote.com	8408	1576	2	1	1	17	4
ar.swissquote.com	84025	1586	1	1	1	17	1
apply.swissquote.com	76	18900	1	1	1	17	2
en.swissquote.com	792	1244	2	1	2	17	2
apply.swissquote.com	275	1587	1	1	1	17	2
demo-advancedtrader.swissquote.com	356	1586	1	1	1	17	2
en.swissquote.com	756	1587	5	4	5	17	2
en.swissquote.com	8404	1586	1	1	1	17	2
ru.swissquote.com	84023	1841	1	1	1	17	2
en.swissquote.com	710	13017	1	1	1	17	3
ru.swissquote.com	398	123017	1	1	1	17	3
apply.swissquote.com	862	1940	1	1	1	17	3
ru.swissquote.com	643	13017	16	4	11	17	3
de.swissquote.com	756	1242	2	1	2	17	3
en.swissquote.com	705	1560	2	1	2	17	3
apply.swissquote.com	804	1560	2	1	1	17	4
demo-advancedtrader.swissquote.com	276	1814	1	1	1	17	4
en.swissquote.com	170	1240	1	1	1	17	4
en.swissquote.com	484	1576	1	1	1	17	4
mailing.swissquote.com	643	1841	3	1	3	17	4
en.swissquote.com	84025	1240	1	1	1	17	4
en.swissquote.com	84056	1240	1	1	1	17	4
ar.swissquote.com	8404	1586	1	1	1	17	4
de.swissquote.com	756	1201	1	1	1	17	1
en.swissquote.com	756	13017	10	3	7	17	1
apply.swissquote.com	643	1587	1	1	1	17	2
en.swissquote.com	124	1587	1	1	1	17	2
fr.swissquote.com	764	1242	3	1	2	17	2
tw.swissquote.com	158	123017	2	2	2	17	2
fr.swissquote.com	756	1560	8	5	6	17	3
fr.swissquote.com	250	1560	1	1	1	17	3
de.swissquote.com	756	1577	3	2	3	17	3
en.swissquote.com	764	1838	1	1	1	17	3
ru.swissquote.com	203	1940	1	1	1	17	4
apply.swissquote.com	643	1244	1	1	1	17	2
en.swissquote.com	724	1244	1	1	1	17	2
apply.swissquote.com	498	123017	1	1	1	17	2
en.swissquote.com	300	1822	6	1	2	17	2
en.swissquote.com	752	1576	2	2	2	17	2
apply.swissquote.com	100	1560	1	1	1	17	2
de.swissquote.com	756	1587	8	7	7	17	2
en.swissquote.com	344	1550	2	1	2	17	2
en.swissquote.com	380	1576	1	1	1	17	2
ru.swissquote.com	804	1240	3	1	3	17	2
ru.swissquote.com	826	1586	1	1	1	17	3
ar.swissquote.com	682	123017	1	1	1	17	3
ar.swissquote.com	682	1577	2	1	2	17	3
en.swissquote.com	826	1940	3	1	3	17	3
it.swissquote.com	442	1560	1	1	1	17	3
ru.swissquote.com	643	1244	26	6	22	17	3
es.swissquote.com	484	1739	1	1	1	17	3
demo-wt.swissquote.com	643	1244	1	1	1	17	3
en.swissquote.com	818	13017	1	1	1	17	3
static.swissquote.com	756	1240	2	2	2	17	3
en.swissquote.com	84011	13017	1	1	1	17	3
en.swissquote.com	724	1560	2	2	2	17	4
de.swissquote.com	40	1587	2	1	2	17	1
fr.swissquote.com	756	1586	6	1	5	17	1
apply.swissquote.com	275	1586	1	1	1	17	1
files.swissquote.com	616	13017	1	1	1	17	1
en.swissquote.com	348	12	1	1	1	17	1
en.swissquote.com	682	1576	3	2	2	17	1
files.swissquote.com	566	1587	2	1	1	17	1
files.swissquote.com	702	1576	1	1	1	17	1
wt.swissquote.com	643	1814	1	1	1	17	1
en.swissquote.com	643	1814	21	10	16	17	3
en.swissquote.com	826	1822	1	1	1	17	3
ru.swissquote.com	643	123017	7	6	7	17	3
ar.swissquote.com	682	1587	1	1	1	17	3
ar.swissquote.com	818	1576	1	1	1	17	3
de.swissquote.com	756	1549	1	1	1	17	3
fr.swissquote.com	756	1577	10	1	7	17	3
ru.swissquote.com	498	1240	1	1	1	17	3
en.swissquote.com	764	199992	6	1	2	17	3
tw.swissquote.com	158	1549	1	1	1	17	3
de.swissquote.com	372	1560	1	1	1	17	4
ru.swissquote.com	398	1560	1	1	1	17	4
mailing.swissquote.com	756	13017	1	1	1	17	1
ar.swissquote.com	12	1587	2	1	2	17	2
es.swissquote.com	604	18900	1	1	1	17	2
files.swissquote.com	710	1240	1	1	1	17	2
de.swissquote.com	756	13010	4	1	4	17	2
en.swissquote.com	356	1576	3	3	3	17	2
en.swissquote.com	392	1808	1	1	1	17	2
en.swissquote.com	756	1576	6	4	6	17	2
fr.swissquote.com	756	199090	3	1	3	17	2
livechat2.swissquote.com	704	1586	1	1	1	17	2
apply.swissquote.com	682	1822	1	1	1	17	3
en.swissquote.com	616	1560	2	2	2	17	3
fr.swissquote.com	756	1240	7	6	7	17	3
en.swissquote.com	417	13017	1	1	1	17	3
en.swissquote.com	804	1587	1	1	1	17	3
ru.swissquote.com	643	1814	58	32	44	17	3
en.swissquote.com	348	1560	3	1	2	17	3
en.swissquote.com	784	1586	3	3	3	17	3
files.swissquote.com	804	1586	2	1	2	17	3
ru.swissquote.com	112	123017	1	1	1	17	3
fr.swissquote.com	275	1560	1	1	1	17	1
ru.swissquote.com	643	1240	14	9	11	17	1
ru.swissquote.com	784	123017	14	1	11	17	1
de.swissquote.com	356	1560	1	1	1	17	2
de.swissquote.com	756	1560	3	1	2	17	2
demo-advancedtrader.swissquote.com	756	1240	1	1	1	17	2
en.swissquote.com	643	1576	1	1	1	17	2
en.swissquote.com	756	1241	1	1	1	17	2
apply.swissquote.com	784	1587	1	1	1	17	2
en.swissquote.com	716	1940	1	1	1	17	2
fr.swissquote.com	84031	13017	1	1	1	17	2
cn.swissquote.com	156	1661	26	16	22	17	3
en.swissquote.com	784	1576	1	1	1	17	3
en.swissquote.com	818	1241	1	1	1	17	4
en.swissquote.com	784	1822	2	1	2	17	4
livechat2.swissquote.com	784	1586	1	1	1	17	4
en.swissquote.com	703	1587	1	1	1	17	1
en.swissquote.com	804	1814	1	1	1	17	1
fr.swissquote.com	380	1240	1	1	1	17	1
livechat2.swissquote.com	414	1587	1	1	1	17	1
ru.swissquote.com	398	1245	1	1	1	17	1
ru.swissquote.com	804	123017	2	2	2	17	1
de.swissquote.com	276	1240	5	2	4	17	2
en.swissquote.com	643	1814	7	6	6	17	2
ru.swissquote.com	643	123017	6	5	6	17	2
tw.swissquote.com	784	1586	1	1	1	17	2
en.swissquote.com	275	1576	1	1	1	17	3
en.swissquote.com	710	123017	1	1	1	17	3
it.swissquote.com	380	13017	25	2	22	17	3
fr.swissquote.com	250	13017	2	2	2	17	4
en.swissquote.com	300	1587	1	1	1	17	2
apply.swissquote.com	12	1587	1	1	1	17	2
files.swissquote.com	643	1244	16	2	13	17	2
livechat2.swissquote.com	804	1587	1	1	1	17	2
ru.swissquote.com	804	1586	13	11	12	17	2
apply.swissquote.com	8406	13017	1	1	1	17	2
cn.swissquote.com	156	1821	3	2	2	17	3
en.swissquote.com	756	1841	1	1	1	17	3
de.swissquote.com	784	1560	1	1	1	17	3
ru.swissquote.com	804	1841	1	1	1	17	3
en.swissquote.com	380	13017	1	1	1	17	4
en.swissquote.com	504	1560	1	1	1	17	4
files.swissquote.com	724	1560	1	1	1	17	4
apply.swissquote.com	643	1586	1	1	1	17	4
de.swissquote.com	276	13017	1	1	1	17	4
en.swissquote.com	250	1739	1	1	1	17	4
en.swissquote.com	858	123017	1	1	1	17	4
fr.swissquote.com	643	1814	1	1	1	17	4
ru.swissquote.com	398	1586	1	1	1	17	4
en.swissquote.com	203	1587	1	1	1	17	1
en.swissquote.com	616	13017	1	1	1	17	1
ar.swissquote.com	818	1586	1	1	1	17	1
fr.swissquote.com	756	1587	2	2	2	17	1
apply.swissquote.com	724	1576	1	1	1	17	1
files.swissquote.com	860	123017	7	1	7	17	1
de.swissquote.com	756	12	1	1	1	17	2
livechat2.swissquote.com	724	123017	1	1	1	17	2
en.swissquote.com	818	1550	1	1	1	17	2
en.swissquote.com	756	123017	3	3	3	17	2
es.swissquote.com	484	199992	1	1	1	17	2
livechat.swissquote.com	792	1587	1	1	1	17	2
en.swissquote.com	784	1560	1	1	1	17	3
livechat2.swissquote.com	380	1240	2	1	1	17	3
ru.swissquote.com	643	1243	1	1	1	17	4
apply.swissquote.com	784	1586	1	1	1	17	4
files.swissquote.com	643	1841	2	1	2	17	4
fr.swissquote.com	250	1243	1	1	1	17	4
ru.swissquote.com	643	13017	12	3	12	17	4
apply.swissquote.com	484	1576	1	1	1	17	1
apply.swissquote.com	724	13017	1	1	1	17	1
en.swissquote.com	76	1822	1	1	1	17	1
en.swissquote.com	528	1576	1	1	1	17	1
es.swissquote.com	484	1940	1	1	1	17	1
ar.swissquote.com	504	1240	1	1	1	17	1
ar.swissquote.com	682	1587	1	1	1	17	1
en.swissquote.com	275	1560	1	1	1	17	1
en.swissquote.com	360	1240	5	1	3	17	1
files.swissquote.com	380	1240	2	2	2	17	1
fr.swissquote.com	756	1577	1	1	1	17	1
ru.swissquote.com	276	1587	1	1	1	17	1
ar.swissquote.com	414	1587	2	1	1	17	1
en.swissquote.com	643	1586	6	5	5	17	1
es.swissquote.com	724	13017	1	1	1	17	1
cn.swissquote.com	250	1240	2	1	1	17	3
wm.swissquote.com	756	1560	4	2	3	17	3
apply.swissquote.com	643	13017	3	2	2	17	3
es.swissquote.com	724	1808	1	1	1	17	3
demo-wt.swissquote.com	682	1240	1	1	1	17	3
en.swissquote.com	203	1940	1	1	1	17	3
apply.swissquote.com	376	1560	1	1	1	17	4
es.swissquote.com	724	123017	3	1	2	17	4
files.swissquote.com	643	1243	1	1	1	17	4
tw.swissquote.com	158	1822	1	1	1	17	4
account.swissquote.com	756	12	1	1	1	17	1
cn.swissquote.com	156	13016	1	1	1	17	1
livechat2.swissquote.com	380	1586	1	1	1	17	1
apply.swissquote.com	804	1586	1	1	1	17	2
en.swissquote.com	112	1587	1	1	1	17	2
en.swissquote.com	643	1841	1	1	1	17	2
es.swissquote.com	604	1940	1	1	1	17	2
de.swissquote.com	724	12	1	1	1	17	2
en.swissquote.com	40	1560	1	1	1	17	2
en.swissquote.com	276	1586	5	1	2	17	2
ru.swissquote.com	804	123017	2	2	2	17	2
forms.swissquote.com	710	1576	1	1	1	17	3
ru.swissquote.com	417	1586	1	1	1	17	3
en.swissquote.com	458	1240	2	1	2	17	4
ru.swissquote.com	804	1841	1	1	1	17	1
apply.swissquote.com	504	1240	2	1	1	17	1
ru.swissquote.com	804	1243	1	1	1	17	1
en.swissquote.com	643	1814	33	15	24	17	4
ru.swissquote.com	643	123017	4	4	4	17	4
ru.swissquote.com	643	1577	2	1	1	17	4
apply.swissquote.com	504	1586	1	1	1	17	4
en.swissquote.com	8404	1550	2	1	2	17	4
ar.swissquote.com	682	123017	3	1	3	17	1
ar.swissquote.com	682	1577	4	1	2	17	1
en.swissquote.com	512	1560	1	1	1	17	1
ru.swissquote.com	643	1244	15	9	14	17	1
en.swissquote.com	300	123017	9	1	5	17	1
en.swissquote.com	380	1940	5	1	5	17	1
de.swissquote.com	756	1201	2	2	2	17	2
de.swissquote.com	792	1560	1	1	1	17	2
ar.swissquote.com	12	1940	1	1	1	17	2
en.swissquote.com	100	1838	2	1	2	17	2
en.swissquote.com	554	1560	1	1	1	17	2
fr.swissquote.com	756	1822	1	1	1	17	2
en.swissquote.com	643	1586	4	4	4	17	3
de.swissquote.com	643	1814	1	1	1	17	4
en.swissquote.com	52	1240	1	1	1	17	4
en.swissquote.com	643	13017	7	2	7	17	4
wt.swissquote.com	756	13010	5	1	5	17	4
livechat2.swissquote.com	724	1240	1	1	1	17	1
apply.swissquote.com	144	1587	1	1	1	17	1
fr.swissquote.com	756	1242	13	3	10	17	1
